"Name","SizeBytes","SkillName"
"soul-gun-3d-asset-pipeline.zip","3375","3d-asset-pipeline"
"soul-gun-3d-renderer-from-scratch.zip","3701","3d-renderer-from-scratch"
"soul-gun-a2a-agent-to-agent-protocol.zip","1346","a2a-agent-to-agent-protocol"
"soul-gun-agent-swarms.zip","1528","agent-swarms"
"soul-gun-agentic-ai-ecosystems.zip","2761","agentic-ai-ecosystems"
"soul-gun-agentic-ai-engineering.zip","3563","agentic-ai-engineering"
"soul-gun-ai-model-from-scratch.zip","2180","ai-model-from-scratch"
"soul-gun-allie-agent-architecture.zip","7487","allie-agent-architecture"
"soul-gun-animation-libraries.zip","2214","animation-libraries"
"soul-gun-archetype-the-sage.zip","699","archetype-the-sage"
"soul-gun-async-from-scratch.zip","3539","async-from-scratch"
"soul-gun-augmented-reality-from-scratch.zip","1978","augmented-reality-from-scratch"
"soul-gun-autogen-agents.zip","4060","autogen-agents"
"soul-gun-autogen-harness.zip","2130","autogen-harness"
"soul-gun-autogpt-subconscious.zip","4801","autogpt-subconscious"
"soul-gun-automated-testing-suite.zip","617","automated-testing-suite"
"soul-gun-bias-aware-diagnostic-engine.zip","1168","bias-aware-diagnostic-engine"
"soul-gun-bittorrent-from-scratch.zip","3097","bittorrent-from-scratch"
"soul-gun-blockchain-from-scratch.zip","2731","blockchain-from-scratch"
"soul-gun-bot-from-scratch.zip","3277","bot-from-scratch"
"soul-gun-brain-builder.zip","4070","brain-builder"
"soul-gun-browser-subconscious.zip","3543","browser-subconscious"
"soul-gun-build-from-scratch.zip","6523","build-from-scratch"
"soul-gun-builder-agent.zip","2279","builder-agent"
"soul-gun-cli-from-scratch.zip","3382","cli-from-scratch"
"soul-gun-code-generation-and-refinement.zip","632","code-generation-and-refinement"
"soul-gun-cognitive-reframing-protocol.zip","648","cognitive-reframing-protocol"
"soul-gun-compiler-from-scratch.zip","3004","compiler-from-scratch"
"soul-gun-consciousness-architecture.zip","5312","consciousness-architecture"
"soul-gun-contextual-read-policy.zip","623","contextual-read-policy"
"soul-gun-core-diagnostic-logic.zip","1099","core-diagnostic-logic"
"soul-gun-crewai-agents.zip","1396","crewai-agents"
"soul-gun-crewai-delegation.zip","3852","crewai-delegation"
"soul-gun-critical-source-evaluation.zip","544","critical-source-evaluation"
"soul-gun-crypto-from-scratch.zip","5305","crypto-from-scratch"
"soul-gun-dashboard-3d-scene.zip","4382","dashboard-3d-scene"
"soul-gun-dashboard-creation.zip","7857","dashboard-creation"
"soul-gun-data-visualization.zip","1437","data-visualization"
"soul-gun-database-from-scratch.zip","3669","database-from-scratch"
"soul-gun-deep-research-protocol.zip","626","deep-research-protocol"
"soul-gun-deployment-preparation.zip","621","deployment-preparation"
"soul-gun-design-engineering.zip","1623","design-engineering"
"soul-gun-design-plan-generation.zip","625","design-plan-generation"
"soul-gun-design-systems.zip","2121","design-systems"
"soul-gun-design-to-code.zip","1472","design-to-code"
"soul-gun-design-tokens.zip","1617","design-tokens"
"soul-gun-docker-from-scratch.zip","3543","docker-from-scratch"
"soul-gun-emulator-from-scratch.zip","3763","emulator-from-scratch"
"soul-gun-free-llm-serving-stack.zip","1585","free-llm-serving-stack"
"soul-gun-free-vector-db-stack.zip","1784","free-vector-db-stack"
"soul-gun-frontend-from-scratch.zip","3687","frontend-from-scratch"
"soul-gun-game-engine-from-scratch.zip","3281","game-engine-from-scratch"
"soul-gun-git-from-scratch.zip","3219","git-from-scratch"
"soul-gun-god-mode-research.zip","5559","god-mode-research"
"soul-gun-haystack.zip","3198","haystack"
"soul-gun-icon-libraries.zip","1236","icon-libraries"
"soul-gun-image-editor-from-scratch.zip","3560","image-editor-from-scratch"
"soul-gun-instructor.zip","2804","instructor"
"soul-gun-knowledge-dissemination-protocol.zip","599","knowledge-dissemination-protocol"
"soul-gun-langgraph-for-agents.zip","1381","langgraph-for-agents"
"soul-gun-langgraph-states.zip","4494","langgraph-states"
"soul-gun-language-from-scratch.zip","3479","language-from-scratch"
"soul-gun-liquid-glass-shader.zip","3949","liquid-glass-shader"
"soul-gun-llamaindex.zip","3640","llamaindex"
"soul-gun-load-balancer-from-scratch.zip","3409","load-balancer-from-scratch"
"soul-gun-machine-learning-from-scratch.zip","3802","machine-learning-from-scratch"
"soul-gun-markdown-from-scratch.zip","2720","markdown-from-scratch"
"soul-gun-mcp-model-context-protocol.zip","1373","mcp-model-context-protocol"
"soul-gun-memory-allocator-from-scratch.zip","2854","memory-allocator-from-scratch"
"soul-gun-metagpt.zip","2845","metagpt"
"soul-gun-microsoft-agent-framework.zip","1715","microsoft-agent-framework"
"soul-gun-modular-scene-composition.zip","640","modular-scene-composition"
"soul-gun-multi-form-task-distribution.zip","627","multi-form-task-distribution"
"soul-gun-nanoscale-connectome-analyzer.zip","1231","nanoscale-connectome-analyzer"
"soul-gun-negativity-bias-offset.zip","638","negativity-bias-offset"
"soul-gun-network-stack-from-scratch.zip","2114","network-stack-from-scratch"
"soul-gun-neural-network-from-scratch.zip","2904","neural-network-from-scratch"
"soul-gun-nosql-from-scratch.zip","3265","nosql-from-scratch"
"soul-gun-openai-agents-sdk.zip","1449","openai-agents-sdk"
"soul-gun-opencode-skill-synthesizer.zip","742","opencode-skill-synthesizer"
"soul-gun-openhands-subconscious.zip","3760","openhands-subconscious"
"soul-gun-openscreen-automation.zip","1121","openscreen-automation"
"soul-gun-opentelemetry.zip","3763","opentelemetry"
"soul-gun-operating-system-from-scratch.zip","3544","operating-system-from-scratch"
"soul-gun-os-from-scratch.zip","3041","os-from-scratch"
"soul-gun-physics-engine-from-scratch.zip","2817","physics-engine-from-scratch"
